country,weighted_dependency,weighted_direct_dependency,weighted_indirect_dependency,total_trade_value,manufacturas_weighted_dependency,manufacturas_weighted_direct,manufacturas_weighted_indirect,agricultura_weighted_dependency,agricultura_weighted_direct,agricultura_weighted_indirect,servicios_weighted_dependency,servicios_weighted_direct,servicios_weighted_indirect,minería y energía_weighted_dependency,minería y energía_weighted_direct,minería y energía_weighted_indirect,country_name
CHN,0.01633909026156451,0.010358154154711082,0.005980936106853425,460860.03463625314,0.04325498074303138,0.02742411760178714,0.015830863141244246,0.0016048017672644927,0.0009117216892886058,0.0006930800779758862,3.534871571589019e-06,2.0962574398133147e-06,1.4386141317756958e-06,4.739601722581832e-05,2.9571057444508892e-05,1.7824959781309422e-05,China
MEX,0.007341399135773609,0.006874689425954721,0.0004667097098188843,367013.4959653616,0.009206088615059857,0.00860660306948223,0.0005994855455776232,0.027167108277965018,0.025756561273715332,0.0014105470042496812,0.00030070912713413023,0.00030009663322568404,6.124939084461292e-07,0.0005686305541359362,0.0005683130468774574,3.1750725847885027e-07,México
VNM,0.0043531965719132,0.0017584881654593007,0.0025947084064538994,63228.44389873743,0.004354900380541964,0.001742362202862443,0.0026125381776795215,0.0044440318551337305,0.003602665689846587,0.0008413661652871404,0.0,0.0,0.0,0.0,0.0,0.0,Vietnam
CAN,0.002768517553034073,0.0027060442097959292,6.247334323814233e-05,317283.062725544,0.003665225014620435,0.0035412562000567286,0.00012396881456370464,0.012409296341389436,0.011847832514281837,0.0005614638271075989,7.388545264134856e-05,7.01131272672469e-05,3.7723253741016543e-06,0.020620072377766044,0.020584511851171494,3.5560526594548144e-05,Canadá
JPN,0.001866255315067831,0.0011957073985053013,0.0006705479165625293,164040.2593291192,0.0034102264719890465,0.0019424581361147434,0.001467768335874302,0.00010478768281074272,4.967026502884931e-05,5.511741778189343e-05,0.000676021840179657,0.000620876701996178,5.514513818347868e-05,0.0004067527588351903,0.00021381974391847537,0.00019293301491671367,Japón
RUS,0.0017411433512212321,0.001132790651407507,0.0006083526998137243,21480.387065708637,0.0023322698643275385,0.0015196314748134765,0.0008126383895140611,2.809500790852219e-06,2.1004025217268843e-06,7.090982691253346e-07,0.0,0.0,0.0,0.00012798924646377008,7.646661431592937e-05,5.1522632147839905e-05,RUS
TWN,0.0014556984159347756,0.000529537551894266,0.0009261608640405088,49597.87427210808,0.0015341189474516277,0.0005579061189997529,0.0009762128284518735,6.721060621743336e-05,5.24704644150052e-05,1.4740141802427772e-05,0.0,0.0,0.0,0.0,0.0,0.0,Taiwán
DEU,0.0011660537703993548,0.00047939028610466486,0.0006866634842946895,138494.58259922266,0.002643413121646793,0.0009962268295840729,0.0016471862920627185,0.0030606851994232813,0.0017091768204979291,0.0013515083789253511,0.00031620109572091904,0.00017995416319350758,0.00013624693252741138,0.00010749634394572672,2.9589385259999074e-05,7.790695868572764e-05,Alemania
IRL,0.0011543035443171653,0.0009817550156961193,0.00017254852862104599,67240.92322063446,0.0030092732818340477,0.002162661387881373,0.000846611893952675,0.0011389406822941062,0.0007325121750002986,0.0004064285072938074,0.0007452659097792464,0.0007327281847718101,1.2537725007436152e-05,0.0,0.0,0.0,Irlanda
KOR,0.0011295526795198772,0.0004785111099949469,0.0006510415695249302,74781.11251402574,0.0011481605498093312,0.00048603486957198645,0.0006621256802373443,0.0,0.0,0.0,4.310262393335864e-05,4.0326863819438444e-05,2.7757601139201236e-06,0.002491872746084408,0.0011732764286445827,0.0013185963174398216,Corea del Sur
IND,0.0007147723463262101,0.0004587821642325444,0.0002559901820936654,69665.65240168571,0.001927978478228703,0.0012274355135773213,0.0007005429646513809,0.0041140150176179795,0.002600118355664139,0.0015138966619538388,1.659947361166815e-05,1.649418319486621e-05,1.0529041680194341e-07,0.002738614365619253,0.001810545009401764,0.000928069356217487,India
THA,0.0007127452486008624,0.00025834789332281565,0.0004543973552780463,28536.132467269897,0.0006794459158728717,0.00022365458629106065,0.00045579132958181056,0.0034541681970528676,0.0029206283961867893,0.0005335398008660777,5.424681858293385e-05,4.765836731021042e-05,6.588451272723421e-06,3.3914875572951904e-05,2.9154467290619823e-05,4.760408282332086e-06,Tailandia
MYS,0.0006385153447990515,0.0004995052047300564,0.00013901014006899483,38580.57933354378,0.0012485259821484807,0.0009331015153124348,0.0003154244668360453,9.462329890835216e-05,2.679875986583222e-05,6.782453904251994e-05,0.00017259092259030453,0.00017227943815381242,3.114844364920831e-07,0.0,0.0,0.0,Malasia
CHE,0.000540540677041632,0.0003371913498440746,0.0002033493271975572,40973.44617930969,0.0013755474187323179,0.0008653354943020525,0.0005102119244302646,0.0,0.0,0.0,0.00017942913940331042,0.00010877910180222287,7.065003760108746e-05,0.0,0.0,0.0,Suiza
FRA,0.0004268449512479911,0.00026342755179984746,0.00016341739944814346,49592.14043916559,0.0009758281449506282,0.0006009287660138168,0.0003748993789368113,0.00014582076839677666,7.163998104661562e-05,7.418078735016083e-05,0.00012900398307572798,8.050945088045931e-05,4.8494532195268676e-05,0.0007668438730033741,0.00031952501516468003,0.00044731885783869335,Francia
BRA,0.00035637037317556944,0.00026414604652808584,9.222432664748329e-05,24988.504524081945,0.00019409620667796475,0.00016661545682144192,2.7480749856522583e-05,0.00675476879432679,0.0034883840802153857,0.003266384714111403,3.835936699493626e-05,2.7691148891993254e-05,1.066821810294301e-05,0.00040608114458452375,0.00038251936611899526,2.3561778465528388e-05,Brasil
ITA,0.0003391982648293973,0.00015546410094843674,0.00018373416388096052,54368.96328353882,0.0008111461898346779,0.00037058532480984654,0.00044056086502483117,3.8627701448621255e-05,1.8406759727095182e-05,2.0220941721525948e-05,9.961092368987355e-06,5.3621460155275385e-06,4.598946353459812e-06,0.0003290570034498807,0.000288175670372991,4.0881333076888726e-05,Italia
GBR,0.0003211581662156172,0.0001979682931591533,0.0001231898730564637,138348.2842931375,0.0005457117222118858,0.0002877082738626758,0.00025800344834920946,0.00035477180099358714,0.00013312606013119978,0.00022164574086238733,0.0002174936572372984,0.0001599397976785674,5.755385955873094e-05,5.850568573747041e-07,3.443201463342217e-07,2.4073671104048124e-07,Reino Unido
BMU,0.00020672878965478065,0.00020672878965478065,0.0,27347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020695205010150795,0.00020695205010150795,0.0,0.0,0.0,0.0,Bermudas
SGP,0.0001089498620202231,7.74081320464185e-05,3.1541729973804454e-05,28552.66438484192,0.0001485907489588393,8.740436608161248e-05,6.118638287722649e-05,0.0,0.0,0.0,9.119963172766927e-05,7.642271724322619e-05,1.4776914484443061e-05,0.0,0.0,0.0,Singapur
