country;weighted_dependency;weighted_direct_dependency;weighted_indirect_dependency;total_trade_value;servicios_weighted_dependency;servicios_weighted_direct;servicios_weighted_indirect;manufacturas_weighted_dependency;manufacturas_weighted_direct;manufacturas_weighted_indirect;agricultura_weighted_dependency;agricultura_weighted_direct;agricultura_weighted_indirect;minería y energía_weighted_dependency;minería y energía_weighted_direct;minería y energía_weighted_indirect;country_name
CHN;0.09252306478162432;0.05128192968916721;0.0412411350924571;589169.6531549096;0.003698208218269772;0.0014587384558980851;0.0022394697623716853;0.13071443552378756;0.07262779057945083;0.05808664494433668;0.001875763861315661;0.0009137354331652521;0.0009620284281504078;0.00030780941793221594;0.00023797057258013725;6.983884535207842e-05;China
CAN;0.038697284737937196;0.03787112091930586;0.0008261638186313308;462003.65150904655;0.0037701557803292173;0.0034781654900474844;0.0002919902902817302;0.02297452571706886;0.021915595177886542;0.0010589305391823201;0.019024389021346264;0.018748272078939223;0.00027611694240703747;0.3658355173087452;0.36551215413063154;0.00032336317811363323;Canadá
MEX;0.030446457479610185;0.02817543254017946;0.0022710249394307224;481186.7156046629;0.007851462217203368;0.007739332225758451;0.00011212999144491908;0.03878489286882058;0.03566949167493576;0.003115401193884814;0.03452372636490445;0.03287455055617326;0.0016491758087311898;0.00901351067022145;0.008837727046014566;0.00017578362420688344;México
GBR;0.013773231018202207;0.0099128907185484;0.003860340299653804;197401.3619501954;0.058463931134079716;0.043729571128798425;0.014734360005281284;0.0018442448604373666;0.0008313435801202009;0.0010129012803171647;0.00015452444523268952;5.653564664642718e-05;9.798879858626222e-05;6.601198102712838e-05;5.945259567382745e-05;6.559385353300169e-06;Reino Unido
VNM;0.0127437606134617;0.006236908323533052;0.006506852289928646;131808.71783274412;0.0;0.0;0.0;0.016306146446770572;0.007948304888943127;0.00835784155782744;0.007110599109466597;0.005371383787697385;0.00173921532176921;0.0;0.0;0.0;Vietnam
DEU;0.01145098615337983;0.0045916486695037305;0.006859337483876097;201160.14231550694;0.014382300850344159;0.007424946374405509;0.006957354475938648;0.01160248789456727;0.004143657440707501;0.007458830453859767;0.0034696716256968794;0.002207833421273624;0.0012618382044232534;2.080662292256875e-06;5.152813616643114e-07;1.5653809305925603e-06;Alemania
JPN;0.01122667710923217;0.006443070913837806;0.00478360619539436;196794.73126149178;0.009784953348565302;0.007451752090924613;0.0023332012576406857;0.01180623865934111;0.006220719205096685;0.0055855194542444205;4.480908358648498e-05;3.0084735331877655e-05;1.4724348254607325e-05;4.640498781159967e-05;4.282967312502501e-05;3.5753146865746564e-06;Japón
IRL;0.009177194756821331;0.005924367647635346;0.0032528271091859834;108815.09120941162;0.007658426983205988;0.0032085433939277644;0.004449883589278223;0.009910470699747757;0.007121002082371635;0.00278946861737612;0.0006531449327287909;0.00041203650981126613;0.00024110842291752492;4.85521383077909e-05;4.85521383077909e-05;0.0;Irlanda
TWN;0.006521171981143215;0.002700961253573506;0.003820210727569708;105636.85794883966;0.0012698553628424812;0.0011532194337482333;0.00011663592909424628;0.008091389234732764;0.0031726907482613163;0.004918698486471446;7.81639508780332e-05;6.21146759997469e-05;1.6049274878286316e-05;2.2582868534113426e-06;1.4874271131388979e-06;7.708597402724336e-07;Taiwán
KOR;0.005386254504706492;0.0028458816735978418;0.0025403728311086484;147089.1246282862;0.002207885462679673;0.0015383069969045913;0.0006695784657750804;0.006394187265536289;0.003265365231462257;0.0031288220340740295;4.389619389646672e-05;2.575994288355382e-05;1.8136251012912482e-05;0.0;0.0;0.0;Corea del Sur
IND;0.004936271671104411;0.003088317700869937;0.0018479539702344727;118099.6330899559;0.003974039131796111;0.002780672346292713;0.0011933667855033951;0.005212983935622938;0.0031690108579086494;0.0020439730777142852;0.0071348861336905925;0.0044771042389141905;0.002657781894776398;0.000927088489764089;0.0007193726921243555;0.0002077157976397318;India
CHE;0.0049286408441886675;0.0031272082611861775;0.0018014325830024876;76839.3099938631;0.004227081360863809;0.0025223591902105527;0.0017047221706532533;0.005244900540037386;0.0033852381829458434;0.001859662357091542;0.0;0.0;0.0;0.0;0.0;0.0;Suiza
FRA;0.004219526327325635;0.0022281174437800335;0.0019914088835455996;91915.24023342133;0.007467028055428516;0.0036927140352467198;0.0037743140201817933;0.0036864899217006284;0.002020685296034968;0.00166580462566566;0.0004307390122961959;0.00023998091348365942;0.00019075809881253638;4.883528231753739e-05;3.533632545051905e-05;1.3498956867018316e-05;Francia
SGP;0.0033291910778170024;0.00214397900578438;0.001185212072032622;68812.39822006226;0.0096890215048046;0.006061516402297933;0.003627505102506665;0.0012038631929127941;0.0008361488050802722;0.00036771438783252163;0.0;0.0;0.0;0.0;0.0;0.0;Singapur
ITA;0.003153731307242464;0.0012760746394273044;0.0018776566678151588;78481.97319412231;0.0010438917006029308;0.0004046986251652152;0.0006391930754377155;0.003934109834209601;0.0015969570984667573;0.0023371527357428415;8.995001344954079e-05;5.08709499427442e-05;3.907906350679634e-05;3.926283957953616e-05;2.905107193682535e-05;1.0211767642710785e-05;Italia
MYS;0.0029718268896629907;0.0020924060207037952;0.0008794208689591952;60987.82271002233;0.002246687204700464;0.0022080310097102964;3.865619499016785e-05;0.003501852425201282;0.0022743696062828512;0.0012274828189184303;5.371751528965259e-05;1.249582816542192e-05;4.122168712423049e-05;0.0;0.0;0.0;Malasia
THA;0.0023986923059700896;0.0011427426618118373;0.0012559496441582514;62584.01481453329;1.3077369020345221e-05;1.0265958235216936e-05;2.8114107851282814e-06;0.002976568751163358;0.001391023814406007;0.0015855449367573494;0.0034166680985684497;0.0024484486220979246;0.0009682194764705245;1.5081051662084697e-05;1.3527556521064703e-05;1.5534951410199939e-06;Tailandia
NLD;0.0017384586445083894;0.000639546643293066;0.001098912001215323;54085.52704721689;0.004767964455742988;0.001721232385965975;0.0030467320697770135;0.0008462683777883795;0.0003223628602084505;0.0005239055175799285;0.0009241234952386201;0.0003028030117290152;0.0006213204835096048;9.210328744097342e-05;4.6497727449160905e-05;4.5605559991812505e-05;Países Bajos
BRA;0.0011926345624702272;0.0007781134278902783;0.0004145211345799481;40553.40104934573;5.7269591092966874e-05;5.0139752087766036e-05;7.129839005200564e-06;0.0010787438522510456;0.0007452325650149065;0.0003335112872361386;0.01048374228991525;0.005382710737713391;0.005101031552201855;0.0019177800346108595;0.0015137547266300274;0.0004040253079808296;Brasil
BEL;0.0010548929663766506;0.0004335664187542144;0.0006213265476224355;37698.93654567003;0.0013281310519602156;0.000670543474127566;0.0006575875778326484;0.0009778810300344737;0.0003589624188234711;0.0006189186112110026;0.0002582821199560269;0.000106644221937595;0.00015163789801843195;5.363498767542335e-05;3.402081112553837e-05;1.9614176549884804e-05;BEL
